iter	MultiClass
0	2.27806319
1	2.194438239
2	2.131759538
33	2.07999898844	2.03910019555	2.0073677896	1.978811614
7	1.956169704
8	1.932070966
99	1.912279691110	1.895424232111	1.877926546112	1.867068026113	1.852796178114	1.839182536115	1.827810023116	1.816776741117	1.806574751118	1.795801661119	1.786180020220	1.776682521221	1.769160022222	1.761760923223	1.754836624224	1.749402225225	1.741909726	26	1.736632827	27	1.728479928	28	1.721317629	29	1.714241830	30	1.708727231	31	1.703144832	32	1.697437133	33	1.692647034	34	1.68764835	135	1.68367736	36	1.679761337	37	1.675263638	38	1.670677239	39	1.666427440	40	1.661337141	41	1.65715204242	1.652249574343	1.649326264444	1.644265774545	1.641371944646	1.63689447447	1.63314348	448	1.63058649	449	1.62717550	550	1.62332651	551	1.62077652	552	1.61785353	553	1.61424254	554	1.61171855	555	1.6082665656	1.605276285757	1.601102995858	1.598042115959	1.595232686060	1.592309865
61	1.589439999
62	1.587537086
63	1.584471424
64	1.581556887
65	1.579578635
66	1.577053861
67	1.57453057
68	1.572891515
69	1.570250268
70	1.568342528
71	1.565667056
72	1.563728314
73	1.560957539
74	1.558529515
75	1.556708563
76	1.554724194777	1.552418119778	1.550220009779	1.54767759
80	1.546355374
81	1.544039347882	1.540727727883	1.538619485884	1.535546032885	1.532851171886	1.530836087	87	1.528290188	88	1.526251489	89	1.523375990	90	1.521270591	91	1.518914092	92	1.515953193	93	1.514081394	94	1.512375095	95	1.511097024
6	1.50972511
97	1.498330657
